group,id,difficulty,policy,extra,pick,won,peak,survivors,weapon,time,bossHP,bossSeconds,shotLoss,touchLoss,gateLoss
matrix,1,normal,center,,,True,14,14,auto,39.99999999999901,,2.0999999999998806,0,0,0
matrix,1,normal,center-1,,,False,3,0,rifle,16.01666666666704,,,0,0,3
matrix,1,normal,center+1,,,True,14,14,auto,39.99999999999901,,2.0999999999998806,0,0,0
matrix,1,normal,left,,,False,1,0,rifle,16.01666666666704,,,0,0,1
matrix,1,normal,right,,,True,16,12,rifle,49.649999999998464,,11.749999999999332,4,0,0
matrix,1,normal,sway,,,False,1,0,rifle,16.01666666666704,,,0,0,1
matrix,1,normal,aim,,,True,20,19,auto,42.283333333332216,,4.383333333333084,1,0,0
matrix,1,normal,plan,,,True,14,14,auto,39.99999999999901,,2.0999999999998806,0,0,0
matrix,2,normal,center,,,False,2,0,rifle,6.016666666666651,,,0,0,2
matrix,2,normal,center-1,,,True,17,12,rifle,55.833333333331446,,12.666666666665947,5,0,0
matrix,2,normal,center+1,,,False,2,0,rifle,6.016666666666651,,,0,0,2
matrix,2,normal,left,,,True,22,14,rifle,59.299999999997915,,16.133333333332416,8,0,0
matrix,2,normal,right,,,False,2,0,rifle,6.016666666666651,,,0,0,2
matrix,2,normal,sway,,,False,15,0,rifle,75.04999999999703,43,31.883333333331528,16,1,0
matrix,2,normal,aim,,,True,23,13,rifle,64.71666666666428,,21.549999999998782,10,2,0
matrix,2,normal,plan,,,True,31,29,rifle,49.23333333333182,,6.066666666666322,2,0,0
matrix,3,normal,center,,badGate,False,11,0,rifle,72.5833333333305,377,16.783333333332386,11,0,0
matrix,3,normal,center-1,,badGate,False,11,0,rifle,75.549999999997,353,19.749999999998884,11,0,0
matrix,3,normal,center+1,,badGate,False,3,0,rifle,21.06666666666675,,,0,0,3
matrix,3,normal,left,,badGate,True,48,44,auto,64.2666666666643,,8.466666666666192,4,0,0
matrix,3,normal,right,,badGate,True,33,20,rifle,83.0833333333299,,27.28333333333179,12,1,0
matrix,3,normal,sway,,badGate,True,61,59,auto,64.71666666666428,,8.916666666666167,2,0,0
matrix,3,normal,aim,,badGate,True,51,48,auto,63.86666666666432,,8.066666666666208,3,0,0
matrix,3,normal,plan,,badGate,True,79,79,auto,59.48333333333124,,3.683333333333124,0,0,0
matrix,1,hard,center,,,True,14,11,auto,42.66666666666553,,4.766666666666396,3,0,0
matrix,1,hard,center-1,,,False,3,0,rifle,16.01666666666704,,,0,0,3
matrix,1,hard,center+1,,,True,14,9,auto,43.13333333333217,,5.233333333333036,4,1,0
matrix,1,hard,left,,,False,1,0,rifle,16.01666666666704,,,0,0,1
matrix,1,hard,right,,,False,16,0,rifle,52.449999999998305,87,14.549999999999173,16,0,0
matrix,1,hard,sway,,,False,1,0,rifle,16.01666666666704,,,0,0,1
matrix,1,hard,aim,,,True,20,9,auto,48.81666666666518,,10.916666666666046,11,0,0
matrix,1,hard,plan,,,True,14,11,auto,42.66666666666553,,4.766666666666396,3,0,0
matrix,2,hard,center,,,False,2,0,rifle,6.016666666666651,,,0,0,2
matrix,2,hard,center-1,,,False,10,0,rifle,52.133333333331656,277,8.966666666666157,10,2,0
matrix,2,hard,center+1,,,False,2,0,rifle,6.016666666666651,,,0,0,2
matrix,2,hard,left,,,False,20,0,rifle,60.116666666664536,226,16.949999999999037,21,1,0
matrix,2,hard,right,,,False,2,0,rifle,6.016666666666651,,,0,0,2
matrix,2,hard,sway,,,False,5,0,rifle,28.016666666666357,,,3,2,0
matrix,2,hard,aim,,,False,21,0,rifle,61.73333333333111,223,18.56666666666561,23,2,0
matrix,2,hard,plan,,,False,21,0,rifle,60.933333333331156,122,17.766666666665657,22,2,0
matrix,3,hard,center,,badGate,False,11,0,rifle,61.599999999997785,763,5.79999999999967,7,4,0
matrix,3,hard,center-1,,badGate,False,11,0,rifle,63.149999999997696,741,7.349999999999582,9,2,0
matrix,3,hard,center+1,,badGate,False,3,0,rifle,21.06666666666675,,,0,0,3
matrix,3,hard,left,,badGate,True,47,28,auto,71.66666666666389,,15.866666666665772,18,2,0
matrix,3,hard,right,,badGate,False,33,0,rifle,83.14999999999657,476,27.349999999998452,32,1,0
matrix,3,hard,sway,,badGate,True,61,44,auto,68.61666666666406,,12.816666666665945,17,0,0
matrix,3,hard,aim,,badGate,True,51,34,auto,70.48333333333062,,14.683333333332506,17,0,0
matrix,3,hard,plan,,badGate,True,78,71,auto,61.89999999999777,,6.099999999999653,7,1,0
matrix,1,brutal,center,,,False,14,0,auto,48.983333333331835,11,11.083333333332703,14,0,0
matrix,1,brutal,center-1,,,False,3,0,rifle,16.01666666666704,,,0,0,3
matrix,1,brutal,center+1,,,False,14,0,auto,48.33333333333187,38,10.43333333333274,13,1,0
matrix,1,brutal,left,,,False,1,0,rifle,16.01666666666704,,,0,0,1
matrix,1,brutal,right,,,False,16,0,rifle,50.31666666666509,196,12.41666666666596,16,0,0
matrix,1,brutal,sway,,,False,1,0,rifle,16.01666666666704,,,0,0,1
matrix,1,brutal,aim,,,False,20,0,auto,52.99999999999827,55,15.099999999999142,20,0,0
matrix,1,brutal,plan,,,False,14,0,auto,48.983333333331835,11,11.083333333332703,14,0,0
matrix,2,brutal,center,,,False,2,0,rifle,6.016666666666651,,,0,0,2
matrix,2,brutal,center-1,,,False,9,0,rifle,50.24999999999843,464,7.083333333332931,9,3,0
matrix,2,brutal,center+1,,,False,2,0,rifle,6.016666666666651,,,0,0,2
matrix,2,brutal,left,,,False,20,0,rifle,57.64999999999801,429,14.48333333333251,21,1,0
matrix,2,brutal,right,,,False,2,0,rifle,6.016666666666651,,,0,0,2
matrix,2,brutal,sway,,,False,5,0,rifle,28.016666666666357,,,3,2,0
matrix,2,brutal,aim,,,False,21,0,rifle,58.916666666664604,417,15.749999999999105,23,2,0
matrix,2,brutal,plan,,,False,21,0,rifle,58.23333333333131,321,15.06666666666581,22,2,0
matrix,3,brutal,center,,badGate,False,11,0,rifle,60.21666666666453,1172,4.416666666666416,7,4,0
matrix,3,brutal,center-1,,badGate,False,11,0,rifle,60.899999999997824,1165,5.09999999999971,8,3,0
matrix,3,brutal,center+1,,badGate,False,3,0,rifle,21.06666666666675,,,0,0,3
matrix,3,brutal,left,,badGate,False,47,0,auto,88.19999999999628,92,32.399999999998165,47,1,0
matrix,3,brutal,right,,badGate,False,33,0,rifle,78.93333333333014,913,23.133333333332025,33,0,0
matrix,3,brutal,sway,,badGate,True,61,29,auto,74.29999999999707,,18.499999999998956,32,0,0
matrix,3,brutal,aim,,badGate,True,51,8,auto,85.58333333332976,,29.783333333331647,42,1,0
matrix,3,brutal,plan,,badGate,True,78,63,auto,65.79999999999755,,9.999999999999439,12,4,0
boss,1,hard,plan,bossCenter,,True,14,11,auto,42.66666666666553,,4.766666666666396,3,0,0
boss,1,hard,plan,bossFollow,,True,14,14,auto,41.3666666666656,,3.4666666666664696,0,0,0
boss,1,hard,plan,bossSweep,,True,14,7,auto,46.58333333333197,,8.68333333333284,7,0,0
boss,2,hard,plan,bossCenter,,False,21,0,rifle,60.933333333331156,122,17.766666666665657,22,2,0
boss,2,hard,plan,bossFollow,,True,21,5,rifle,61.3499999999978,,18.1833333333323,17,2,0
boss,2,hard,plan,bossSweep,,False,21,0,rifle,66.56666666666418,131,23.399999999998677,22,2,0
boss,3,hard,plan,bossCenter,badGate,True,78,71,auto,61.89999999999777,,6.099999999999653,7,1,0
boss,3,hard,plan,bossFollow,badGate,True,78,70,auto,61.38333333333113,,5.583333333333016,8,1,0
boss,3,hard,plan,bossSweep,badGate,True,78,71,auto,62.03333333333109,,6.233333333332979,7,1,0
boss,1,brutal,plan,bossCenter,,False,14,0,auto,48.983333333331835,11,11.083333333332703,14,0,0
boss,1,brutal,plan,bossFollow,,True,14,10,auto,44.74999999999874,,6.849999999999611,4,0,0
boss,1,brutal,plan,bossSweep,,False,14,0,auto,51.71666666666501,81,13.816666666665881,14,0,0
boss,2,brutal,plan,bossCenter,,False,21,0,rifle,58.23333333333131,321,15.06666666666581,22,2,0
boss,2,brutal,plan,bossFollow,,False,21,0,rifle,66.91666666666416,201,23.749999999998657,22,2,0
boss,2,brutal,plan,bossSweep,,False,21,0,rifle,62.24999999999775,343,19.08333333333225,22,2,0
boss,3,brutal,plan,bossCenter,badGate,True,78,63,auto,65.79999999999755,,9.999999999999439,12,4,0
boss,3,brutal,plan,bossFollow,badGate,True,78,57,auto,64.69999999999762,,8.899999999999501,18,4,0
boss,3,brutal,plan,bossSweep,badGate,True,78,56,auto,66.7999999999975,,10.999999999999382,19,4,0
lottery,3,normal,right,lottery,heavy,True,33,30,heavy,65.28333333333092,,9.483333333332801,3,0,0
lottery,3,normal,plan,lottery,heavy,True,69,69,heavy,58.58333333333129,,2.783333333333175,0,0,0
lottery,3,normal,right,lottery,badGate,True,33,20,rifle,83.0833333333299,,27.28333333333179,12,1,0
lottery,3,normal,plan,lottery,badGate,True,69,69,auto,59.616666666664564,,3.8166666666664497,0,0,0
lottery,3,normal,right,lottery,trapGate,False,33,0,rifle,101.61666666666218,153,45.81666666666407,23,0,10
lottery,3,normal,plan,lottery,trapGate,True,69,58,auto,60.1333333333312,,4.333333333333087,1,0,10
lottery,3,normal,right,lottery,chain6,True,45,37,rifle,74.8166666666637,,19.016666666665593,8,0,0
lottery,3,normal,plan,lottery,chain6,True,81,81,auto,59.44999999999791,,3.6499999999997925,0,0,0
lottery,3,normal,right,lottery,soldier8,True,41,32,rifle,76.29999999999696,,20.499999999998842,9,0,0
lottery,3,normal,plan,lottery,soldier8,True,77,77,auto,59.51666666666457,,3.7166666666664554,0,0,0
lottery,3,hard,right,lottery,heavy,True,33,12,heavy,74.46666666666373,,18.666666666665613,21,0,0
lottery,3,hard,plan,lottery,heavy,True,69,66,heavy,60.56666666666451,,4.766666666666396,3,0,0
lottery,3,hard,right,lottery,badGate,False,33,0,rifle,83.14999999999657,478,27.349999999998452,32,1,0
lottery,3,hard,plan,lottery,badGate,True,69,63,auto,62.23333333333108,,6.433333333332968,5,1,0
lottery,3,hard,right,lottery,trapGate,False,33,0,rifle,74.39999999999706,660,18.59999999999895,23,0,10
lottery,3,hard,plan,lottery,trapGate,True,69,49,auto,63.61666666666434,,7.816666666666222,9,1,10
lottery,3,hard,right,lottery,chain6,False,45,0,rifle,92.74999999999602,232,36.94999999999791,45,0,0
lottery,3,hard,plan,lottery,chain6,True,81,74,auto,61.716666666664445,,5.91666666666633,7,0,0
lottery,3,hard,right,lottery,soldier8,False,41,0,rifle,89.58333333332953,329,33.78333333333142,40,1,0
lottery,3,hard,plan,lottery,soldier8,True,77,71,auto,61.96666666666443,,6.166666666666316,6,0,0
lottery,3,brutal,right,lottery,heavy,False,33,0,heavy,79.64999999999677,400,23.84999999999865,33,0,0
lottery,3,brutal,plan,lottery,heavy,True,69,61,heavy,63.51666666666434,,7.716666666666228,8,0,0
lottery,3,brutal,right,lottery,badGate,False,33,0,rifle,78.93333333333014,913,23.133333333332025,33,0,0
lottery,3,brutal,plan,lottery,badGate,True,69,53,auto,66.78333333333083,,10.983333333332716,13,3,0
lottery,3,brutal,right,lottery,trapGate,False,33,0,rifle,70.89999999999726,1074,15.099999999999149,22,1,10
lottery,3,brutal,plan,lottery,trapGate,True,69,39,auto,68.83333333333071,,13.0333333333326,18,2,10
lottery,3,brutal,right,lottery,chain6,False,45,0,rifle,86.96666666666302,721,31.166666666664902,45,0,0
lottery,3,brutal,plan,lottery,chain6,True,81,66,auto,65.5333333333309,,9.733333333332787,12,3,0
lottery,3,brutal,right,lottery,soldier8,False,41,0,rifle,84.21666666666317,781,28.41666666666506,41,0,0
lottery,3,brutal,plan,lottery,soldier8,True,77,62,auto,65.96666666666421,,10.166666666666096,12,3,0
